Date,Venue,Performers,URL,IsFree
"Sunday, 19 November 2023 07:00 PM",FACTORY THEATRE,BECKY ROBINSON + ,https://www.factorytheatre.com.au/event/becky-robinson/,
"Wednesday, 22 November 2023 06:00 PM",FACTORY THEATRE,FOY VANCE + King Cedar,https://www.factorytheatre.com.au/event/foy-vance-2/,
"Wednesday, 22 November 2023 08:00 PM",FACTORY THEATRE,THE TEMPER TRAP + ,https://www.factorytheatre.com.au/event/the-temper-trap/,
"Thursday, 23 November 2023 07:30 PM",FACTORY THEATRE,G. LOVE & SPECIAL SAUCE + ,https://www.factorytheatre.com.au/event/g-love-special-sauce/,
"Thursday, 23 November 2023 07:30 PM",FACTORY FLOOR,HUBRIS. + Svntax Error,https://www.factorytheatre.com.au/event/hubris/,
"Friday, 24 November 2023 07:00 PM",FACTORY THEATRE,CARAVANA SUN + Late Night Therapy + Little Quirks,https://www.factorytheatre.com.au/event/caravana-sun/,
"Friday, 24 November 2023 07:15 PM",FUSEBOX,LACHIE GILL + ,https://www.factorytheatre.com.au/event/lachie-gill/,
"Saturday, 25 November 2023 08:00 PM",FACTORY THEATRE,CAITLIN HARNETT & THE PONY BOYS + Bones and Jones,https://www.factorytheatre.com.au/event/caitlin-harnett-the-pony-boys/,
"Thursday, 30 November 2023 07:00 PM",FACTORY THEATRE,NEEL KOLHATKAR + ,https://www.factorytheatre.com.au/event/neel-kolhatkar/,
"Friday, 01 December 2023 07:00 PM",FACTORY FLOOR,GENERAL LEVY + More Judgment + Chris Munky,https://www.factorytheatre.com.au/event/general-levy/,
"Friday, 01 December 2023 08:00 PM",FACTORY THEATRE,THE SCREAMING JETS + ,https://www.factorytheatre.com.au/event/the-screaming-jets/,
"Sunday, 03 December 2023 06:00 PM",FACTORY THEATRE,ELIXIR + Charm Of Finches,https://www.factorytheatre.com.au/event/elixir/,
"Tuesday, 05 December 2023 08:00 PM",FACTORY THEATRE,FLOWDAN + ,https://www.factorytheatre.com.au/event/flowdan/,
"Friday, 08 December 2023 08:00 PM",FACTORY FLOOR,FOR THE LOVE OF PURPLE + ,https://www.factorytheatre.com.au/event/for-the-love-of-purple/,
"Saturday, 09 December 2023 07:30 PM",FACTORY THEATRE,BLACK FLAG + N/A - Headliner performing two sets over whole night.,https://www.factorytheatre.com.au/event/black-flag/,
"Friday, 15 December 2023 07:30 PM",FACTORY FLOOR,METAL EVILUTION 20TH BIRTHDAY + BASTARDIZER + ASYLUM (QLD),https://www.factorytheatre.com.au/event/metal-evilution-20th-birthday/,
"Saturday, 16 December 2023 07:30 PM",FACTORY FLOOR,JAZZ EMU + ,https://www.factorytheatre.com.au/event/jazz-emu/,
"Thursday, 21 December 2023 08:00 PM",FACTORY THEATRE,NOASIS + TBC,https://www.factorytheatre.com.au/event/noasis-2/,
"Saturday, 20 January 2024 07:00 PM",FUSEBOX,DILAN AIMANDA + Akasha,https://www.factorytheatre.com.au/event/dilan-aimanda/,
"Saturday, 20 January 2024 07:30 PM",FACTORY THEATRE,PAUL DI’ANNO + NOTURNALL + KILLRAZER/BASTARDIZER,https://www.factorytheatre.com.au/event/paul-dianno/,
"Saturday, 27 January 2024 07:30 PM",FACTORY THEATRE,WALTER TROUT + ,https://www.factorytheatre.com.au/event/walter-trout/,
"Sunday, 25 February 2024 06:00 PM",FACTORY THEATRE,INQUISITION + ,https://www.factorytheatre.com.au/event/inquisition/,
"Thursday, 07 March 2024 06:30 PM",FACTORY THEATRE,HOT MULLIGAN & FREE THROW + ,https://www.factorytheatre.com.au/event/hot-mulligan-free-throw/,
"Thursday, 28 March 2024 07:00 PM",FACTORY THEATRE,NEWTON FAULKNER + ,https://www.factorytheatre.com.au/event/newton-faulkner/,
"Thursday, 04 April 2024 07:30 PM",FACTORY THEATRE,1927 X BOOM CRASH OPERA + ,https://www.factorytheatre.com.au/event/1927-x-boom-crash-opera/,
"Friday, 05 April 2024 07:30 PM",FACTORY THEATRE,1927 X BOOM CRASH OPERA + ,https://www.factorytheatre.com.au/event/1927-x-boom-crash-opera/,
"Thursday, 11 July 2024 07:30 PM",FACTORY THEATRE,MO GILLIGAN + ,https://www.factorytheatre.com.au/event/mo-gilligan-2/,
"Wednesday, 27 September 2023 08:00 PM",METRO THEATRE,ANGIE MCMAHON + ,https://www.metrotheatre.com.au/event/angie-mcmahon/,
"Thursday, 28 September 2023 08:00 PM",METRO THEATRE,LOJAY - CANCELLED + ,https://www.metrotheatre.com.au/event/lojay/,
